CASRN,Name,Hazard class,Category,H-statement,M-factor
1897-45-6,"2,4,5,6-Tetrachloro-1,3-benzenedicarbonitrile ; Chlorothalonil, Daconil,TPN",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
76-06-2,Chloropicrin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
76-06-2,Chloropicrin,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
76-06-2,Trichloronitromethane ; Chloropicrin,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
76-06-2,Trichloronitromethane ; Chloropicrin,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
76-06-2,Trichloronitromethane ; Chloropicrin,Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
57-74-9,Chlordane,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
57-74-9,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene ; Chlordane, Toxichlor",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
57-74-9,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene ; Chlordane, Toxichlor",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
57-74-9,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene ; Chlordane, Toxichlor",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
57-74-9,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene ; Chlordane, Toxichlor",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
21923-23-9,Chlorthiophos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
21923-23-9,Chlorthiophos,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
21923-23-9,Chlorthiophos,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
21923-23-9,"O-[2,5-Dichloro-4-(methylthio)phenyl] O,O-diethyl phosphorothioate ; Chlorthiophos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
51487-69-5,Cloethocarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
119168-77-3,Tebufenpyrad,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
119168-77-3,N-(4-tert-Butylbenzyl)-4-chloro-3-ethyl-1-methylpyrazole-5-carboxamide ; Tebufenpyrad,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
119168-77-3,N-(4-tert-Butylbenzyl)-4-chloro-3-ethyl-1-methylpyrazole-5-carboxamide ; Tebufenpyrad,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
112143-82-5,Triazamate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
112143-82-5,Triazamate,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
112143-82-5,Triazamate,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
112143-82-5,Triazamate,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
112143-82-5,"1-(N, N-dimethylcarbamoyl))-3-tert-butyl-5-carboxymethylthio-1H-1,2,4-triazole ; Triazamate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
79-01-6,Trichloroethylene,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
79-01-6,"Ethylene trichloride ; Trichloroethylene, Trichloroethene",Carcinogenicity,Category 1,H350 - May cause cancer,
79-01-6,"Ethylene trichloride ; Trichloroethylene, Trichloroethene",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
52-68-6,Trichlorofon,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
52-68-6,"(2,2,2-Trichloro-1-hydroxyethyl)phosphoric acid dimethyl ester ; Trichlorofon, Chlorofos",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
52-68-6,"(2,2,2-Trichloro-1-hydroxyethyl)phosphoric acid dimethyl ester ; Trichlorofon, Chlorofos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
52-68-6,"(2,2,2-Trichloro-1-hydroxyethyl)phosphoric acid dimethyl ester ; Trichlorofon, Chlorofos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
1582-09-8,Trifluralin,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,10
1582-09-8,Trifluralin,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
1582-09-8,Trifluralin,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
1582-09-8,"2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)benzenamine ; Trifluralin",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
1582-09-8,"2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)benzenamine ; Trifluralin",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
640-15-3,Thiometon,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
640-15-3,"O,O-Dimethyl S-(2-(ethylthio)ethyl) phosphorodithioate ; Thiometon",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
79-19-6,Thiosemicarbazide,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
79-19-6,Thiosemicarbazide,Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
39196-18-4,Thiofanox,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
39196-18-4,"3,3-Dimethyl-1-(methylthio)butanone-O-(N-methylcarbamoyl)oxime ; Thiofanox",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
39196-18-4,"3,3-Dimethyl-1-(methylthio)butanone-O-(N-methylcarbamoyl)oxime ; Thiofanox",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
39196-18-4,"3,3-Dimethyl-1-(methylthio)butanone-O-(N-methylcarbamoyl)oxime ; Thiofanox",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
298-00-0,Parathion-methyl,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
298-00-0,"O,O-Dimethyl O-(p-nitrophenyl) phosphorothioate ; Methyl parathion",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
298-00-0,"O,O-Dimethyl O-(p-nitrophenyl) phosphorothioate ; Methyl parathion",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
298-00-0,"O,O-Dimethyl O-(p-nitrophenyl) phosphorothioate ; Methyl parathion",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
298-00-0,"O,O-Dimethyl O-(p-nitrophenyl) phosphorothioate ; Methyl parathion",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
298-00-0,"O,O-Dimethyl O-(p-nitrophenyl) phosphorothioate ; Methyl parathion",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
56-38-2,Parathion,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
56-38-2,"O,O-Diethyl O-(p-nitrophenyl) phosphorothioate;Phosphorothioic acid O,O-diethyl O-(4-nitrophenyl) ester, Parathion",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
56-38-2,"O,O-Diethyl O-(p-nitrophenyl) phosphorothioate;Phosphorothioic acid O,O-diethyl O-(4-nitrophenyl) ester, Parathion",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
56-38-2,"O,O-Diethyl O-(p-nitrophenyl) phosphorothioate;Phosphorothioic acid O,O-diethyl O-(4-nitrophenyl) ester, Parathion",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
56-38-2,"O,O-Diethyl O-(p-nitrophenyl) phosphorothioate;Phosphorothioic acid O,O-diethyl O-(4-nitrophenyl) ester, Parathion",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
56-38-2,"O,O-Diethyl O-(p-nitrophenyl) phosphorothioate;Phosphorothioic acid O,O-diethyl O-(4-nitrophenyl) ester, Parathion",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
52-85-7,Famphur,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
52-85-7,"O-[4-[(Dimethylamino)sulfonyl]phenyl] O,O-dimethyl thiophosphate ; Famphur",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
22224-92-6,Fenamiphos,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
22224-92-6,Fenamiphos,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
22224-92-6,Ethyl 3-methyl-4-methylthiophenyl N-isopropylphosphoramidate ; Fenamiphos,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
22224-92-6,Ethyl 3-methyl-4-methylthiophenyl N-isopropylphosphoramidate ; Fenamiphos,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
22224-92-6,Ethyl 3-methyl-4-methylthiophenyl N-isopropylphosphoramidate ; Fenamiphos,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
71283-80-2,Fenoxaprop-p,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
71283-80-2,Ethyl (2R)-2-[4-(6-chloro-2-benzoxazolyloxy)phenoxy]propionate ; Fenoxaprop-p,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
108-95-2,Phenol,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
108-95-2,Phenol ; Hydroxybenzene,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
108-95-2,Phenol ; Hydroxybenzene,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
108-95-2,Phenol ; Hydroxybenzene,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
108-95-2,Phenol ; Hydroxybenzene,Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
108-95-2,Phenol ; Hydroxybenzene,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
100-63-0,Phenylenediamine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Carcinogenicity,Category 1,H350 - May cause cancer,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
100-63-0,Phenylhydrazine ; Hydrazinobenzene,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
2275-14-1,Phencapton,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
2275-14-1,Phencapton,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2275-14-1,Phencapton,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2275-14-1,"O,O-Diethyl S-(2,5-dichlorophenylthiomethyl) dithiophosphate ; Phencapton",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2597-03-7,Phenthoate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
2597-03-7,"S-α-(Ethoxycarbonyl)benzyl O,O-dimethyl phosphodithioate ; Phenthoate",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
2597-03-7,"S-α-(Ethoxycarbonyl)benzyl O,O-dimethyl phosphodithioate ; Phenthoate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
2597-03-7,"S-α-(Ethoxycarbonyl)benzyl O,O-dimethyl phosphodithioate ; Phenthoate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
134098-61-6,Fenpyroximate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
134098-61-6,Fenpyroximate,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
134098-61-6,"tert-Butyl (E)-α-(1,3-dimethyl-5-phenoxypyrazol-4-ylmethylene aminooxy)-p-toluate ; Fenpyroximate",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
134098-61-6,"tert-Butyl (E)-α-(1,3-dimethyl-5-phenoxypyrazol-4-ylmethylene aminooxy)-p-toluate ; Fenpyroximate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
134098-61-6,"tert-Butyl (E)-α-(1,3-dimethyl-5-phenoxypyrazol-4-ylmethylene aminooxy)-p-toluate ; Fenpyroximate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
50-00-0,Formalin,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
50-00-0,Formaldehyde ; Formalin,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
50-00-0,Formaldehyde ; Formalin,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
50-00-0,Formaldehyde ; Formalin,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
50-00-0,Formaldehyde ; Formalin,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
50-00-0,Formaldehyde ; Formalin,Carcinogenicity,Category 1,H350 - May cause cancer,
50-00-0,Formaldehyde ; Formalin,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2540-82-1,Formothion,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2540-82-1,Formothion,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2540-82-1,"S-(N-Formyl-N-methylcarbamoylmethyl) O,O-dimethyl phosphorodithioate ; Formothion",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
22259-30-9,Formetanate,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
22259-30-9,Formetanate,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
22259-30-9,3-[(Dimethylamino)methylenimino]phenyl N-methylcarbamate ; Formetanate,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
22259-30-9,3-[(Dimethylamino)methylenimino]phenyl N-methylcarbamate ; Formetanate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
22259-30-9,3-[(Dimethylamino)methylenimino]phenyl N-methylcarbamate ; Formetanate,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,10
2310-17-0,Phosalone,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2310-17-0,Phosalone,Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
2310-17-0,"Phosphorodithioic acid S-[(6-chloro-2-oxo-3(2H)-benzoxazolyl)methyl] O,O-diethyl ester",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
2310-17-0,"Phosphorodithioic acid S-[(6-chloro-2-oxo-3(2H)-benzoxazolyl)methyl] O,O-diethyl ester",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
2310-17-0,"Phosphorodithioic acid S-[(6-chloro-2-oxo-3(2H)-benzoxazolyl)methyl] O,O-diethyl ester",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
2310-17-0,"Phosphorodithioic acid S-[(6-chloro-2-oxo-3(2H)-benzoxazolyl)methyl] O,O-diethyl ester",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
732-11-6,Phosmet,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
732-11-6,"O,O-Dimethyl S-phthalimidomethyl phosphorodithioate ; Phosmet",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
732-11-6,"O,O-Dimethyl S-phthalimidomethyl phosphorodithioate ; Phosmet",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
732-11-6,"O,O-Dimethyl S-phthalimidomethyl phosphorodithioate ; Phosmet",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
4104-14-7,Phosacetim,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
4104-14-7,"O,O-Bis(p-chlorophenyl) acetimidoylamidothiophosphate ; Phosacetim",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
4104-14-7,"O,O-Bis(p-chlorophenyl) acetimidoylamidothiophosphate ; Phosacetim",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
4104-14-7,"O,O-Bis(p-chlorophenyl) acetimidoylamidothiophosphate ; Phosacetim",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
98886-44-3,Fosthiazate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
98886-44-3,"(R,S)-S-sec-butyl, O-ethyl 2-oxo-1,3-thiazolidin-3-ylphosphonothioate ; Fosthiazate",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
98886-44-3,"(R,S)-S-sec-butyl, O-ethyl 2-oxo-1,3-thiazolidin-3-ylphosphonothioate ; Fosthiazate",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
98886-44-3,"(R,S)-S-sec-butyl, O-ethyl 2-oxo-1,3-thiazolidin-3-ylphosphonothioate ; Fosthiazate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
98886-44-3,"(R,S)-S-sec-butyl, O-ethyl 2-oxo-1,3-thiazolidin-3-ylphosphonothioate ; Fosthiazate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
98886-44-3,"(R,S)-S-sec-butyl, O-ethyl 2-oxo-1,3-thiazolidin-3-ylphosphonothioate ; Fosthiazate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
21548-32-3,Fosthiethan,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,
21548-32-3,"Diethyl (1,3-dithietan-2-ylidene)phosphoramidate ; Fosthiethan",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
13171-21-6,Phosphamidon,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
13171-21-6,Phosphoric acid 2-chloro-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester ; Phosphamidon,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
13171-21-6,Phosphoric acid 2-chloro-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester ; Phosphamidon,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
13171-21-6,Phosphoric acid 2-chloro-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester ; Phosphamidon,Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
13171-21-6,Phosphoric acid 2-chloro-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester ; Phosphamidon,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
13171-21-6,Phosphoric acid 2-chloro-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester ; Phosphamidon,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
133-07-3,Folpet,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,10
133-07-3,Folpet,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
133-07-3,Folpet,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
133-07-3,"2-[(Trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione ; Folpet, Phaltan",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
133-07-3,"2-[(Trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione ; Folpet, Phaltan",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
133-07-3,"2-[(Trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione ; Folpet, Phaltan",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,10
65907-30-4,Furathiocarb,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
65907-30-4,Furathiocarb,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
65907-30-4,"2,3-Dihydro-2,2-dimethyl-7-benzofuryl 2,4-dimethyl-6-oxa-5-oxo-3-thia-2,4-diazadecanoate ; Furathiocarb",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
65907-30-4,"2,3-Dihydro-2,2-dimethyl-7-benzofuryl 2,4-dimethyl-6-oxa-5-oxo-3-thia-2,4-diazadecanoate ; Furathiocarb",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
65907-30-4,"2,3-Dihydro-2,2-dimethyl-7-benzofuryl 2,4-dimethyl-6-oxa-5-oxo-3-thia-2,4-diazadecanoate ; Furathiocarb",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
65907-30-4,"2,3-Dihydro-2,2-dimethyl-7-benzofuryl 2,4-dimethyl-6-oxa-5-oxo-3-thia-2,4-diazadecanoate ; Furathiocarb",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
65907-30-4,"2,3-Dihydro-2,2-dimethyl-7-benzofuryl 2,4-dimethyl-6-oxa-5-oxo-3-thia-2,4-diazadecanoate ; Furathiocarb",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
65907-30-4,"2,3-Dihydro-2,2-dimethyl-7-benzofuryl 2,4-dimethyl-6-oxa-5-oxo-3-thia-2,4-diazadecanoate ; Furathiocarb",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
3309-87-3,Fujithion,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
3309-87-3,Fujithion,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
2631-37-0,Promecarb,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
2631-37-0,"Promecarb ; Phenol, 3-methyl-5-(1-methylethyl)-, methyl carbamate",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
2631-37-0,"Promecarb ; Phenol, 3-methyl-5-(1-methylethyl)-, methyl carbamate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
2631-37-0,"Promecarb ; Phenol, 3-methyl-5-(1-methylethyl)-, methyl carbamate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2312-35-8,Propargite,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,10
2312-35-8,Propargite,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
2312-35-8,Propargite,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
2312-35-8,2-(4-tert-Butylphenoxy)-cyclohexyl prop-2-ynyl sulfite ; Propargite,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
2312-35-8,2-(4-tert-Butylphenoxy)-cyclohexyl prop-2-ynyl sulfite ; Propargite,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
2312-35-8,2-(4-tert-Butylphenoxy)-cyclohexyl prop-2-ynyl sulfite ; Propargite,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
111479-05-1,Propaquizafop,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
111479-05-1,Propaquizafop,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
111479-05-1,2-Isopropylideneamino-oxyethyl (R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenoxy]propionate ; Propaquizafop,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
7292-16-2,Propaphos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
7292-16-2,Propaphos,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
41198-08-7,Profenofos,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
41198-08-7,O-(4-Bromo-2-chlorophenyl) O-ethyl S-propyl phosphorothionate ; O-(4-Bromo-2-chloro-phenyl) O-ethyl S-propyl ester,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
41198-08-7,O-(4-Bromo-2-chlorophenyl) O-ethyl S-propyl phosphorothionate ; O-(4-Bromo-2-chloro-phenyl) O-ethyl S-propyl ester,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
41198-08-7,O-(4-Bromo-2-chlorophenyl) O-ethyl S-propyl phosphorothionate ; O-(4-Bromo-2-chloro-phenyl) O-ethyl S-propyl ester,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
41198-08-7,O-(4-Bromo-2-chlorophenyl) O-ethyl S-propyl phosphorothionate ; O-(4-Bromo-2-chloro-phenyl) O-ethyl S-propyl ester,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
31218-83-4,Propetamphos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
31218-83-4,Propetamphos,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
31218-83-4,(E)-O-2-Isopropoxycarbonyl-1-methylvinyl O-methyl ethylphosphoramidothioate ; Propetamphos,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
31218-83-4,(E)-O-2-Isopropoxycarbonyl-1-methylvinyl O-methyl ethylphosphoramidothioate ; Propetamphos,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
79723-02-7,Tetramethylammonium hydrogen phthalate ,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
79723-02-7,Tetramethylammonium hydrogen phthalate ; TMAP,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
79723-02-7,Tetramethylammonium hydrogen phthalate ; TMAP,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
131341-86-1,Fludioxonil,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
131341-86-1,Fludioxonil,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
69409-94-5,Fluvalinate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
69409-94-5,Fluvalinate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
69409-94-5,"N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester ; Fluvalinate, Mavrik",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,100
